id,walk_len,walk_eyex_mean,walk_eyex_std,walk_eyex_speed,walk_eyey_mean,walk_eyey_std,walk_eyey_speed,walk_eye_speed,walk_path_total,walk_path_speed,walk_path_speed_sd,walk_straightness,walk_eyexspeed_corr,search_len,search_eyex_mean,search_eyex_std,search_eyex_speed,search_eyey_mean,search_eyey_std,search_eyey_speed,search_eye_speed,search_path_total,search_path_speed,search_path_speed_sd,search_straightness,search_eyexspeed_corr,
8,7311,-5.1702,15.3169,1.6479,-1.113,9.8257,1.1171,2.2539,299.5812,1.2293,0.29019,1.3723,-0.031063,15855,-10.7152,15.9728,1.0869,-4.0757,11.384,0.81815,1.5259,256.9642,0.48621,0.50331,2.4646,-0.17879,
3,7906,-6.7355,10.6045,2.3557,-1.1908,11.652,2.0039,3.365,305.6933,1.16,0.16641,1.3822,0.006625,16489,-8.3258,10.3897,1.1064,-1.7525,12.4143,1.0146,1.6775,240.2033,0.43702,0.43405,2.2139,-0.046705,
5,7961,-4.1267,12.5895,1.8314,-0.68126,12.8336,1.666,2.7604,316.7194,1.1935,0.29474,1.398,0.0093652,12361,-8.0985,13.4961,1.1657,-1.8826,11.9624,1.0253,1.7316,211.2014,0.51258,0.48141,1.9968,-0.061634,
6,8029,-4.3266,14.1943,1.7276,-12.295,8.1028,0.82839,2.0594,316.1592,1.1813,0.22303,1.4323,-0.0079433,21844,-8.9065,15.6516,1.2989,-8.1637,12.1165,0.88433,1.7061,357.7594,0.49134,0.47527,2.5153,-0.19875,
7,7908,1.8234,11.8864,1.9564,-6.3349,6.7412,0.98998,2.3613,310.1101,1.1764,0.24982,1.3936,-0.11776,28691,-2.8911,13.4968,1.0401,-3.2481,8.1809,0.62296,1.3145,537.6127,0.56214,0.36658,4.9512,0.04612,
9,7093,-3.4848,8.7622,1.277,-3.0786,10.2108,1.0279,1.8896,313.4689,1.3258,0.33716,1.2263,0.0022008,13218,-3.3929,11.6296,1.115,-4.8775,7.1327,0.68164,1.4392,263.1672,0.59729,0.4499,3.077,-0.086301,
10,7434,-6.9574,9.0381,1.3735,1.433,8.9892,1.0346,1.9019,329.472,1.3296,0.3011,1.4923,-0.041328,14722,-6.4986,10.6519,0.8508,0.41342,9.7871,0.56556,1.1259,272.2747,0.55483,0.56261,2.239,-0.22504,
11,7511,-3.4081,16.6323,2.3065,-6.3726,13.9832,1.5006,2.9537,302.4695,1.2081,0.2489,1.3936,-0.014877,16410,-6.5464,16.2411,1.5494,-2.7269,11.8755,1.0862,2.0436,249.9622,0.45697,0.435,2.5375,-0.13788,
12,7809,2.6887,10.6609,1.3647,-1.6811,7.185,0.9009,1.7981,306.223,1.1764,0.23386,1.3611,-0.00047592,18618,-1.8767,13.9015,0.78451,0.54323,9.277,0.49869,1.0333,308.4243,0.49698,0.48061,2.8053,-0.17573,
13,8221,5.7154,14.4007,3.0899,-9.2582,7.4759,0.99417,3.452,304.0932,1.1097,0.24206,1.3744,-0.0030313,17504,-2.1171,16.7836,2.5867,-7.7285,7.603,0.75936,2.8573,339.4716,0.58182,0.41181,2.8779,-0.026952,
16,7730,-2.7647,10.9927,2.108,3.6123,11.6203,1.3633,2.7428,311.0876,1.2073,0.23201,1.3791,-0.14311,17026,-2.7446,13.7962,1.1105,2.3027,10.6299,0.76816,1.4849,262.2961,0.46217,0.44904,3.464,-0.1207,
17,7711,-7.4252,13.8292,2.9014,1.2637,11.9022,1.631,3.5372,278.9753,1.0854,0.21494,1.3297,-0.083351,19729,-7.2637,11.451,1.6692,1.3913,10.2517,1.0534,2.1209,411.695,0.62603,0.43491,3.6489,-0.049199,
18,8072,-2.4121,12.7612,1.7632,-9.0255,6.6776,0.93649,2.1955,312.5344,1.1616,0.21599,1.3742,-0.063529,23544,-4.6401,11.9127,1.1946,-5.6222,6.1091,0.64951,1.4923,420.5408,0.53586,0.44238,4.2169,-0.069933,
19,7662,0.092451,13.9169,3.2062,-1.8749,9.8934,1.8543,4.0364,314.5517,1.2316,0.23949,1.3512,-0.022528,27014,-2.6296,13.2527,2.2369,-1.194,9.6578,1.4511,2.8942,531.8188,0.5906,0.39615,6.0155,0.057906,
23,8606,-3.551,13.7672,2.4849,8.7189,13.5139,1.439,3.1002,332.8828,1.1604,0.28592,1.3117,-0.013294,19814,-2.8156,16.1362,1.2089,1.5871,10.5225,0.69117,1.526,347.587,0.52627,0.48152,2.9476,-0.11289,
24,8162,0.80372,14.1995,1.6683,-1.4288,9.081,1.0156,2.1634,314.7907,1.157,0.22947,1.3976,0.021314,17559,-1.9621,15.7963,0.96266,-2.3952,9.0408,0.66694,1.3047,273.7128,0.46765,0.39125,3.4171,-0.22297,
25,8000,-7.0612,11.6026,2.3938,2.1515,15.3374,2.0201,3.3595,312.5068,1.1719,0.21834,1.3701,0.069385,20079,-3.896,13.4318,1.5872,-1.4509,11.2366,1.3057,2.269,327.8045,0.48977,0.42331,2.8297,-0.11096,
26,7701,-4.1574,15.4398,2.9182,10.1429,13.2964,2.0472,3.8784,230.6172,0.89839,0.48216,1.4503,0.015945,17480,-4.6586,13.7374,1.2669,6.1513,11.7719,0.87471,1.7129,257.1164,0.44128,0.46761,2.3841,-0.30436,
29,10270,-4.927,12.5735,1.3918,-2.7124,7.8874,0.95415,1.8557,330.7424,0.96614,0.31629,1.4243,-0.041625,24160,-7.05,17.3462,1.4166,-1.2581,12.9281,0.95901,1.8463,314.5064,0.39053,0.38003,3.0546,0.054773,
30,9279,-5.006,7.4325,0.82396,-3.8235,7.8039,0.83896,1.3114,323.4699,1.0458,0.23266,1.3638,-0.0064983,15950,-4.0838,9.8402,0.81967,-1.5094,10.6967,0.6442,1.1665,303.2773,0.57043,0.56563,2.8663,0.06726,
31,9795,0.631,14.0472,2.1134,0.83855,11.9262,1.0318,2.5134,324.1385,0.99277,0.20853,1.4047,0.045815,20208,-4.565,12.899,1.1754,-4.3516,8.6187,0.57237,1.4134,369.0631,0.5479,0.52364,4.6204,-0.14806,
32,8998,5.3304,15.1056,1.5203,-5.8255,5.6833,0.80954,1.8601,334.7706,1.1162,0.23844,1.3443,0.14975,16220,-2.7788,15.6097,1.2142,-0.47114,11.9671,0.66942,1.4947,293.9345,0.54365,0.50647,3.7642,-0.13429,
33,10560,-3.0796,7.5055,1.2869,1.7005,12.7529,1.4922,2.18,335.7347,0.95379,0.28358,1.3891,-0.1159,17292,-1.9799,12.3345,0.89753,-6.8558,9.7779,0.70626,1.2707,238.2654,0.41337,0.4502,2.3807,-0.088049,
35,9099,0.25549,16.072,2.5805,-2.5883,10.922,2.0942,3.5964,330.5362,1.0898,0.82075,1.4452,-0.050933,35772,-2.3403,14.7781,1.5603,-2.9076,11.6985,1.4007,2.3055,1157.6167,0.97083,0.72821,7.8624,-0.16224,
36,8419,-1.6852,10.2745,1.2754,0.37653,9.711,1.2492,1.9964,324.9818,1.158,0.29358,1.3795,-0.097932,19616,-1.9695,11.6734,0.9642,-3.4619,10.4836,0.79725,1.4048,309.781,0.47377,0.46974,2.9239,0.083381,
37,8478,-2.0446,9.2205,1.5427,7.1553,12.8926,1.6952,2.4996,319.4543,1.1304,0.18864,1.378,-0.0153,18908,-3.1423,10.4183,1.3464,0.086779,9.0928,0.88311,1.7627,277.8621,0.44086,0.50316,3.5084,-0.056076,
38,8725,-1.5855,15.604,2.6359,-2.3858,12.0506,1.6881,3.3531,324.8095,1.1168,0.2346,1.3819,0.046221,23100,-6.9176,14.3507,1.0029,-7.6119,10.1268,0.73244,1.3701,319.5236,0.41497,0.45403,3.1174,-0.14958,
39,8406,-0.88487,9.6618,1.6242,-4.2234,8.4189,1.5561,2.4572,208.3951,0.74374,0.19502,1.2074,0.055537,11412,0.13972,13.9559,1.6234,-1.604,9.9241,1.2148,2.2165,102.4608,0.26935,0.34614,1.108,0.0036412,
40,8881,0.17383,10.1458,1.3194,-3.5891,8.9201,1.0497,1.8216,310.8058,1.0499,0.19091,1.3457,0.079784,25975,-2.1975,12.6318,1.0189,-3.2891,7.9343,0.62723,1.3038,468.9659,0.54164,0.45261,4.4283,0.076434,
41,8513,2.2899,13.3745,2.9734,0.23777,13.0534,2.0857,3.8191,319.1277,1.1246,0.24379,1.3776,0.0033499,20028,-1.1645,13.0672,1.6708,2.7732,12.4903,1.6296,2.4576,269.4221,0.40357,0.55599,3.2122,-0.12346,
42,7475,-3.7947,6.8838,0.79767,2.513,10.4856,1.1044,1.5688,318.8622,1.2797,0.21158,1.3875,-0.030211,25678,-4.2601,10.6717,1.1142,-0.82318,10.3099,0.72192,1.4765,545.8229,0.63769,0.49041,6.7262,-0.037772,
45,7951,3.2703,15.8777,2.8802,-4.6481,8.4318,1.5036,3.5078,327.1835,1.2345,0.25,1.4387,-0.037366,22070,-1.4665,14.6209,1.8307,-3.4903,10.5624,1.2353,2.4302,288.2443,0.39181,0.4555,2.8232,-0.082608,
46,8384,-3.171,11.1905,1.4153,-0.57211,10.8977,1.2024,2.0329,322.2061,1.1529,0.23298,1.4413,-0.099535,27284,-3.9673,13.2243,1.1953,0.13168,10.9265,0.81911,1.5893,478.0848,0.52568,0.44679,4.2898,0.019729,
47,8522,-1.7321,12.3005,2.1119,-5.3228,7.4379,1.3311,2.6837,313.6064,1.104,0.35744,1.4178,0.029513,21795,-6.3255,11.2144,1.5699,-3.0238,7.9224,1.1909,2.121,296.9084,0.40868,0.45495,3.7072,-0.016322,
67,8686,-2.2644,12.7823,2.1462,-4.9924,8.1274,1.1658,2.628,323.9163,1.1188,0.19406,1.3706,0.060478,14179,-5.288,11.1943,1.2216,-4.5782,9.3477,0.83295,1.6248,300.8632,0.63657,0.60918,2.8723,-0.089092,
52,8021,-0.60408,8.973,1.798,5.8494,15.8049,1.6921,2.8066,325.5775,1.2177,0.22132,1.3679,-0.017949,13793,-2.4079,9.3792,0.91961,-4.3533,13.8412,0.79299,1.373,274.8921,0.59789,0.57474,2.4524,-0.11181,
53,7489,-6.9249,9.4913,1.6542,-0.58597,9.3058,1.2482,2.2653,332.1525,1.3306,0.20624,1.4355,-0.017707,17859,-7.5587,10.302,1.1807,-1.0388,9.2261,0.78891,1.562,275.7999,0.4633,0.43663,2.6192,-0.077596,
54,8700,-4.3254,12.44,1.0253,-14.3486,8.8873,0.90493,1.5397,333.6351,1.1505,0.22525,1.4477,0.078576,20313,-6.8393,14.0354,0.80395,-7.5706,11.3961,0.58407,1.0953,375.1912,0.55411,0.43859,3.3108,0.10747,
55,8508,0.18482,11.1495,2.5007,4.2263,13.5696,2.9266,4.1384,325.5697,1.148,0.25779,1.3877,0.051939,23277,-3.2222,11.8627,1.293,-0.73816,9.3897,1.0327,1.8357,476.804,0.61452,0.54581,4.8766,-0.26623,
56,11189,-4.7823,16.4726,1.8648,0.84259,11.2446,1.2386,2.414,327.5961,0.87835,0.48401,1.4005,-0.43684,14469,-3.6678,11.3783,1.5187,3.3115,11.4494,1.1277,2.0376,220.9139,0.45804,0.49151,2.7029,-0.03508,
57,7481,-2.7023,11.0737,1.7315,-7.3031,6.1905,0.68605,2.016,332.9559,1.3352,0.43728,1.3954,-0.069789,19791,-3.0597,11.4156,0.78115,-1.6133,11.3159,0.49789,1.0403,270.2648,0.40968,0.46468,2.8005,0.0073932,
58,9914,-3.9687,11.736,1.4135,1.8769,9.949,1.1817,2.0414,326.4965,0.98799,0.62294,1.4096,-0.34952,14220,-7.577,14.3871,1.1347,0.2107,11.3599,1.0688,1.7241,172.5013,0.36393,0.54619,1.6707,-0.23301,
59,8363,-1.9682,10.9284,1.4672,-11.8881,7.9164,0.87061,1.8733,327.2779,1.174,0.29401,1.3817,0.038658,17483,-3.6485,11.2363,1.1097,-8.8061,10.2843,0.77425,1.4975,203.7779,0.34967,0.42561,2.2999,-0.051414,
60,7538,-6.9658,12.1724,2.4126,1.1921,13.4178,2.2655,3.5076,322.7926,1.2847,0.29274,1.4102,-0.023633,16892,-9.0233,13.4892,1.2701,3.1811,13.2177,1.2041,1.836,239.9443,0.42614,0.48995,2.7804,-0.027724,
61,5556,-8.2885,14.0012,2.9452,-6.1596,12.7467,2.2933,3.7505,268.3164,1.4488,0.27345,1.3572,-0.064731,15729,-6.479,13.0089,1.737,-6.3364,12.6454,1.4963,2.3292,185.6649,0.35412,0.51906,2.2046,-0.0050837,
62,6301,-4.7239,8.3598,1.6065,-2.7521,9.6323,1.7034,2.5191,290.2955,1.3821,0.28627,1.3657,0.059434,17071,-3.0536,9.3015,0.99023,0.067688,10.9959,0.86602,1.4281,272.9073,0.4796,0.52775,3.4713,0.076343,
63,9540,0.068073,11.923,1.5557,3.3821,11.5582,1.1503,2.1342,329.5427,1.0363,0.53418,1.4199,-0.35585,17581,-2.1904,11.2706,1.3048,0.97911,9.5913,0.74955,1.6306,271.8573,0.46389,0.4242,2.6966,-0.0874,
64,5833,0.6991,9.2208,1.8828,-0.90059,6.5869,1.1029,2.3183,258.7247,1.3307,0.26338,1.3845,-0.059434,15961,-2.2916,9.9135,1.1462,7.5669,11.0743,0.67969,1.435,192.0167,0.36091,0.45692,1.8018,-0.037,
66,6478,-0.63774,11.037,2.3394,-0.69,9.2929,1.4052,3.0123,274.9228,1.2732,0.20723,1.3958,0.045808,7700,2.1612,14.5294,1.2698,0.43585,12.5238,0.88402,1.7062,63.4708,0.24729,0.28743,16.1701,0.11476,
68,9268,-0.85818,10.8813,2.178,0.94691,10.1363,1.7824,2.9996,315.9676,1.0228,0.17125,1.372,0.010671,16233,-4.7213,12.9627,1.5254,-0.34699,10.1605,1.0868,2.0337,251.7844,0.46532,0.38659,2.5015,-0.10556,
69,7593,2.7397,11.273,2.3848,-4.167,8.2616,1.2193,2.8678,317.3295,1.2538,0.20181,1.3535,0.046016,26030,-3.8162,12.5273,1.5753,0.038982,10.7514,1.0445,2.0464,539.4076,0.62168,0.49742,5.2066,0.037387,
70,6943,-9.4012,12.2139,2.7708,-2.0602,8.8554,1.523,3.2711,319.3502,1.3799,0.29002,1.4317,-0.061013,17615,-6.9155,14.6682,2.3207,2.8245,11.7616,1.3653,2.7578,277.6425,0.47285,0.44275,2.6446,-0.061346,
71,6858,-0.81365,9.2959,1.8199,-8.8869,6.314,1.2074,2.3767,321.6713,1.4071,0.24326,1.3862,0.026154,29343,-4.1604,11.6485,1.27,-6.2777,8.6035,0.83432,1.6514,NaN,NaN,NaN,NaN,NaN,
72,6815,0.66646,12.0995,1.9318,-4.1212,9.6622,1.371,2.591,324.7444,1.4295,0.25643,1.3903,0.019432,18065,-5.0799,13.6249,1.6068,-2.4018,9.4151,0.98545,2.0466,346.0971,0.57475,0.43581,3.7529,-0.11583,
73,6785,0.5756,10.8105,1.2646,2.9625,11.008,1.5724,2.2743,311.0776,1.3754,0.21333,1.3632,0.18598,12692,-5.8975,14.3795,1.2075,2.6261,12.5685,0.97168,1.7306,235.5005,0.55665,0.60307,2.3833,-0.30616,
74,9066,3.322,9.4804,2.1562,-3.4421,8.4377,1.5685,2.8715,323.0877,1.0691,0.17906,1.3608,0.020119,19050,-2.4433,10.917,1.0717,-3.7317,7.9721,0.67731,1.3824,286.5795,0.45131,0.42165,2.85,-0.16148,
75,6955,-2.9618,6.5061,1.121,-7.502,4.0322,0.67266,1.4329,319.7322,1.3791,0.22037,1.3666,0.014363,16707,-6.0016,15.2163,1.7931,-0.54124,10.1257,1.2137,2.3246,307.1033,0.55145,0.45078,2.8365,0.11386,
76,7075,-6.7361,9.2134,1.1182,-7.8997,3.9595,0.66011,1.4036,319.8553,1.3563,0.26115,1.3803,0.092897,19129,-6.3171,11.0789,1.137,-5.8079,6.2866,0.63344,1.4,341.9038,0.53621,0.42669,3.2189,-0.09805,
77,6617,0.55666,9.0332,0.77048,-8.2392,6.7082,0.56782,1.1064,337.0174,1.528,0.26556,1.3658,-0.074628,18082,-1.0879,11.0764,0.68898,-2.4802,9.866,0.56568,1.0034,305.7008,0.50719,0.53111,3.66,0.02268,
